total_livable_area,market_value,zip_code
1224.0,151200.0,19149
1280.0,245400.0,19152
2584.0,404800.0,19114
1536.0,349700.0,19146
982.0,203200.0,19148
2280.0,227800.0,19111
1700.0,239000.0,19115
704.0,21100.0,19122
1174.0,46800.0,19131
1440.0,81900.0,19143
5264.0,1480400.0,19103
1080.0,182800.0,19115
1312.0,127600.0,19150
1128.0,181000.0,19121
3078.0,699000.0,19147
1530.0,262500.0,19152
1302.0,133700.0,19126
1498.0,194000.0,19114
2064.0,83500.0,19121
2760.0,258500.0,19111
2300.0,207000.0,19111
1194.0,105500.0,19120
1110.0,80100.0,19143
,5500.0,19121
718.0,119800.0,19134
1360.0,64900.0,19131
1218.0,225400.0,19148
964.0,55300.0,19134
1440.0,691900.0,19146
2448.0,305100.0,19143
1784.0,257300.0,19127
864.0,21200.0,19132
1224.0,163500.0,19149
,21400.0,19104
1408.0,75500.0,19124
1706.0,141000.0,19131
24781.0,5014600.0,19123
2624.0,607400.0,19124
1679.0,301900.0,19106
1022.0,76400.0,19124
992.0,65100.0,19142
1122.0,45200.0,19140
1664.0,125200.0,19120
1920.0,240700.0,19145
1440.0,52400.0,19121
1440.0,107500.0,19120
1360.0,209200.0,19154
1400.0,271000.0,19122
1062.0,54100.0,19143
1080.0,104400.0,19111
1048.0,25100.0,19140
980.0,336100.0,19123
1152.0,138800.0,19151
1656.0,168300.0,19136
1236.0,128100.0,19146
1034.0,300000.0,19106
1104.0,69800.0,19143
1056.0,151400.0,19114
1260.0,221100.0,19145
2079.0,444400.0,19125
820.0,189600.0,19148
900.0,145800.0,19111
1178.0,42100.0,19143
3048.0,794700.0,19121
1760.0,43900.0,19131
984.0,132600.0,19148
1042.0,154400.0,19125
1648.0,708900.0,19146
1320.0,158700.0,19149
1356.0,214700.0,19128
720.0,58000.0,19124
918.0,45700.0,19143
1105.0,122200.0,19111
1110.0,38200.0,19139
840.0,39600.0,19134
960.0,14800.0,19140
1024.0,132400.0,19145
2115.0,145800.0,19126
1935.0,422800.0,19128
1015.0,354700.0,19103
1341.0,125800.0,19151
678.0,110500.0,19119
1040.0,180900.0,19145
696.0,253100.0,19147
784.0,38900.0,19144
2028.0,418900.0,19125
2736.0,314400.0,19119
1290.0,186100.0,19125
660.0,53000.0,19143
1278.0,200800.0,19116
,87000.0,19130
3396.0,487800.0,19130
800.0,24100.0,19133
1200.0,39100.0,19134
,3500.0,19134
1066.0,226600.0,19115
970.0,232100.0,19130
2277.0,400000.0,19147
1260.0,116900.0,19111
1740.0,73300.0,19138
2220.0,128500.0,19134
800.0,118700.0,19145
1137.0,191600.0,19128
1356.0,129800.0,19146
,85900.0,19116
2050.0,305900.0,19104
1488.0,97600.0,19141
1200.0,83400.0,19120
,7000.0,19122
1310.0,494300.0,19146
2697.0,101000.0,19140
1184.0,33300.0,19132
1350.0,98400.0,19124
2704.0,283000.0,19124
840.0,133100.0,19146
1040.0,159200.0,19125
1578.0,129600.0,19150
720.0,42500.0,19139
1056.0,43600.0,19138
1169.0,196800.0,19152
1254.0,195300.0,19114
1036.0,317700.0,19146
1500.0,76000.0,19120
,26500.0,19122
1120.0,156100.0,19148
756.0,119100.0,19148
1278.0,91700.0,19141
1432.0,28700.0,19142
1500.0,149300.0,19143
1136.0,214900.0,19148
1040.0,182300.0,19136
2233.0,82300.0,19132
1266.0,49200.0,19140
1168.0,85800.0,19151
756.0,29200.0,19121
1366.0,105800.0,19131
1716.0,243100.0,19116
1080.0,74800.0,19142
1218.0,346300.0,19147
1128.0,57400.0,19143
728.0,15900.0,19140
864.0,234700.0,19121
1180.0,184100.0,19148
1304.0,188900.0,19152
,10100.0,19134
1686.0,123000.0,19119
1152.0,105100.0,19124
1944.0,217700.0,19154
674.0,212000.0,19130
,188300.0,19122
1292.0,270000.0,19130
2800.0,278300.0,19115
1699.0,346900.0,19125
2415.0,33500.0,19140
1220.0,80400.0,19143
1882.0,781900.0,19147
1452.0,70800.0,19143
,14400.0,19134
1464.0,121900.0,19150
2240.0,43800.0,19140
816.0,155300.0,19148
1198.0,50600.0,19132
1320.0,71300.0,19142
2808.0,34600.0,19140
1280.0,121700.0,19124
1368.0,325100.0,19148
1587.0,201900.0,19128
1296.0,231100.0,19154
1386.0,176400.0,19138
1200.0,108300.0,19126
4560.0,230700.0,19139
1670.0,273500.0,19114
,12600.0,19122
,16200.0,19146
1456.0,159300.0,19145
2945.0,313100.0,19119
1428.0,250000.0,19114
1782.0,727800.0,19106
1754.0,296500.0,19115
1088.0,127600.0,19149
1068.0,58700.0,19139
2592.0,431000.0,19148
3840.0,239000.0,19131
1120.0,121900.0,19142
1360.0,212200.0,19154
1362.0,113800.0,19120
940.0,132400.0,19148
1260.0,201800.0,19114
794.0,9000.0,19132
914.0,124200.0,19136
1040.0,106200.0,19138
2238.0,400200.0,19147
2820.0,501900.0,19118
