"zip_code","population"
"19102",7568
"19103",28717
"19104",56839
"19106",15190
"19107",17600
"19108",39
"19109",26
"19111",67017
"19112",3
"19114",32645
"19115",35919
"19116",35610
"19118",9628
"19119",27265
"19120",66177
"19121",41799
"19122",26668
"19123",18793
"19124",68766
"19125",25325
"19126",16159
"19127",6929
"19128",36542
"19129",11437
"19130",31477
"19131",42705
"19132",33926
"19133",24772
"19134",57463
"19135",35422
"19136",39151
"19137",8682
"19138",31816
"19139",43281
"19140",52124
"19141",31047
"19142",29565
"19143",64648
"19144",44481
"19145",47079
"19146",41920
"19147",41096
"19148",53976
"19149",60408
"19150",23126
"19151",30394
"19152",35911
"19153",11985
"19154",34681
